trees,.metric,.estimator,mean,n,std_err,.config
1115,roc_auc,hand_till,0.7076463034430296,5,0.01688014074760434,Preprocessor1_Model06
1557,roc_auc,hand_till,0.7075436977925073,5,0.01740682906009041,Preprocessor1_Model08
1778,roc_auc,hand_till,0.7074563613598336,5,0.018060512394929798,Preprocessor1_Model09
2000,roc_auc,hand_till,0.7071723332186626,5,0.01815145901558776,Preprocessor1_Model10
1336,roc_auc,hand_till,0.7071130719405521,5,0.01680439406636565,Preprocessor1_Model07
894,roc_auc,hand_till,0.7069535354122656,5,0.015732635710293805,Preprocessor1_Model05
452,roc_auc,hand_till,0.7067691563139976,5,0.01323304363981526,Preprocessor1_Model03
673,roc_auc,hand_till,0.7062661150357579,5,0.014898116932517358,Preprocessor1_Model04
231,roc_auc,hand_till,0.7030552274518544,5,0.011215441600194453,Preprocessor1_Model02
10,roc_auc,hand_till,0.6898674180023385,5,0.00934124605378572,Preprocessor1_Model01
